TRACK_ID,POSITION_X,POSITION_Y,POSITION_T,AREA
0.0,362.0967205,491.0726383,0.0,1702.5
1.0,232.7505423,18.69207726,0.0,1613.5
2.0,61.05702281,19.0280112,0.0,1666.0
3.0,405.2626379,490.3043645,0.0,1737.5
4.0,190.0400543,490.5740471,0.0,1718.5
5.0,146.4177875,18.78709207,0.0,1598.5
6.0,19.07484714,448.3602151,0.0,1581.0
7.0,362.1133935,18.66687416,0.0,1606.5
9.0,233.8354614,490.9198104,0.0,1723.0
10.0,491.5312532,447.5767949,0.0,1650.5
11.0,448.0050413,405.1335955,0.0,1653.0
12.0,104.0662419,405.0915251,0.0,1648.0
13.0,491.1899236,103.6978082,0.0,1680.5
14.0,233.3986967,61.2650079,0.0,1688.0
15.0,61.25531709,490.3034609,0.0,1724.0
16.0,361.6166867,103.9995994,0.0,1664.0
17.0,189.885952,60.27400881,0.0,1702.5
18.0,275.8005035,405.2257805,0.0,1655.0
19.0,18.79661017,19.31214689,0.0,1534.0
20.0,490.9092332,19.03526343,0.0,1597.5
22.0,490.7413325,61.05346196,0.0,1658.5
25.0,447.3139324,447.5834339,0.0,1658.0
26.0,104.2308785,61.23432745,0.0,1643.0
27.0,104.0626832,448.1671216,0.0,1648.5
28.0,233.1606946,405.1304828,0.0,1660.5
29.0,405.3445508,60.55487864,0.0,1723.5
30.0,318.5456566,404.3284848,0.0,1650.0
31.0,318.492073,447.7264932,0.0,1671.5
32.0,405.6721504,104.1425774,0.0,1702.0
33.0,233.3728864,447.4180757,0.0,1685.5
34.0,318.5263263,103.8129129,0.0,1665.0
35.0,275.6989444,448.2089931,0.0,1642.0
36.0,146.4546482,447.6639959,0.0,1622.5
37.0,362.3916489,405.1124657,0.0,1640.5
38.0,147.0717747,60.10528972,0.0,1651.0
39.0,447.8463649,18.64239738,0.0,1579.5
40.0,276.134562,490.867717,0.0,1682.0
41.0,104.586174,491.2976225,0.0,1745.5
42.0,60.79957065,61.11446136,0.0,1708.0
43.0,61.5613623,104.1939714,0.0,1703.0
44.0,189.643668,103.9643766,0.0,1703.0
45.0,60.68949907,448.0140734,0.0,1693.5
47.0,189.6927068,404.1960842,0.0,1702.5
49.0,189.6060074,447.8854106,0.0,1709.0
50.0,448.3646526,61.27995972,0.0,1655.0
51.0,104.2159045,103.7536101,0.0,1662.0
53.0,232.5482765,103.5409322,0.0,1702.0
54.0,405.0365474,19.24486725,0.0,1550.5
55.0,146.8293105,404.8589469,0.0,1636.5
56.0,103.7360144,18.63278446,0.0,1579.0
57.0,405.5524572,448.0259072,0.0,1685.5
58.0,448.5354662,103.9825849,0.0,1703.5
59.0,318.3139535,18.75948041,0.0,1591.0
60.0,190.0835383,18.76424764,0.0,1626.0
61.0,491.1541991,405.0543587,0.0,1671.0
63.0,275.8893732,18.60907015,0.0,1606.0
64.0,275.9624427,60.50677426,0.0,1673.0
85.0,318.810416,61.13105671,0.0,1654.5
86.0,276.04914,104.4232187,0.0,1628.0
87.0,60.56844977,404.5064796,0.0,1710.5
88.0,404.7351436,405.3809524,0.0,1694.0
89.0,146.5969038,491.1625484,0.0,1679.5
90.0,362.1425993,61.25020056,0.0,1662.0
92.0,448.5243196,490.2573827,0.0,1727.0
93.0,18.3398275,491.2632166,0.0,1642.5
102.0,19.43508115,103.7438618,0.0,1602.0
103.0,490.6917435,491.1377738,0.0,1681.5
104.0,19.25423549,405.0368488,0.0,1574.0
105.0,19.35890932,60.36176284,0.0,1577.0
106.0,146.9967184,104.173926,0.0,1676.0
107.0,362.2790131,448.4714184,0.0,1641.5
108.0,318.7648309,490.5281159,0.0,1725.0
0.0,362.0967205,491.0726383,1.0,1702.5
1.0,232.7505423,18.69207726,1.0,1613.5
2.0,61.05702281,19.0280112,1.0,1666.0
3.0,405.2626379,490.3043645,1.0,1737.5
4.0,190.0400543,490.5740471,1.0,1718.5
5.0,146.4177875,18.78709207,1.0,1598.5
6.0,19.07484714,448.3602151,1.0,1581.0
7.0,362.1133935,18.66687416,1.0,1606.5
9.0,233.8354614,490.9198104,1.0,1723.0
10.0,491.5312532,447.5767949,1.0,1650.5
11.0,448.0050413,405.1335955,1.0,1653.0
12.0,104.0662419,405.0915251,1.0,1648.0
13.0,491.1899236,103.6978082,1.0,1680.5
14.0,233.3986967,61.2650079,1.0,1688.0
15.0,61.25531709,490.3034609,1.0,1724.0
16.0,361.6166867,103.9995994,1.0,1664.0
17.0,189.885952,60.27400881,1.0,1702.5
18.0,275.8005035,405.2257805,1.0,1655.0
19.0,18.79661017,19.31214689,1.0,1534.0
20.0,490.9092332,19.03526343,1.0,1597.5
22.0,490.7413325,61.05346196,1.0,1658.5
25.0,447.3139324,447.5834339,1.0,1658.0
26.0,104.2308785,61.23432745,1.0,1643.0
27.0,104.0626832,448.1671216,1.0,1648.5
28.0,233.1606946,405.1304828,1.0,1660.5
29.0,405.3445508,60.55487864,1.0,1723.5
30.0,318.5456566,404.3284848,1.0,1650.0
31.0,318.492073,447.7264932,1.0,1671.5
32.0,405.6721504,104.1425774,1.0,1702.0
33.0,233.3728864,447.4180757,1.0,1685.5
34.0,318.5263263,103.8129129,1.0,1665.0
35.0,275.6989444,448.2089931,1.0,1642.0
36.0,146.4546482,447.6639959,1.0,1622.5
37.0,362.3916489,405.1124657,1.0,1640.5
38.0,147.0717747,60.10528972,1.0,1651.0
39.0,447.8463649,18.64239738,1.0,1579.5
40.0,276.134562,490.867717,1.0,1682.0
41.0,104.586174,491.2976225,1.0,1745.5
42.0,60.79957065,61.11446136,1.0,1708.0
43.0,61.5613623,104.1939714,1.0,1703.0
44.0,189.643668,103.9643766,1.0,1703.0
45.0,60.68949907,448.0140734,1.0,1693.5
